,Sample,Date,long,lat,elev.m,snow.temp,ug.L,rmse BC,d18O.correct,dD.correct,dexcess correct,Notes
0,180,20/4/18,-35.000526,75.999895,2542.0,-19,3.339539673,1.09,-32.07322536,-253.62851630000003,2.957286612,soft snow
1,148,26/4/18,-43.842803,78.976109,2396.0,-26,3.562902569,1.09,-29.544698600000004,-231.81190279999998,4.545686013,sastrugi*
2,186,30/4/18,-48.486472,81.288962,553.0,-15,5.08905829,1.09,-35.476164000000004,-273.45377460000003,10.35553739,tip of glacier
3,87,20/4/18,46.219715,61.748863,,-11,2.8733546760000004,1.09,-23.51735948,-183.96173869999998,4.17713718,
4,178,23/4/18,-24.814908,74.207942,2223.0,-30,2.892795491,1.09,-23.964995300000002,-185.68216819999998,6.03779418,sastrugi*
5,120,30/4/18,-45.23,80.327853,1969.0,-28,2.62100666,1.09,-40.23531487,-314.39005330000003,7.49246571,
6,92,5/5/18,-38.850101,72.682113,3179.0,-32,2.478135992,1.09,-39.13114599,-308.09351539999994,4.955652531,"summit camp, firm"
7,154,5/4/18,-34.567893,73.416627,3111.0,-20,2.299762893,1.09,-38.98773252,-310.1041988,1.797661405,very soft
8,10,5/1/18,-41.546182,76.863511,2345.0,-27,2.413055097,1.09,-39.03904018,-301.11406580000005,11.19825568,
9,12,28/4/18,-37.999558,77.734655,,-33,2.436525955,1.09,-37.01630093,-295.09662710000003,1.033780307,
10,79,6/5/18,44.334367,69.109659,2267.0,-35,2.664694013,1.09,-29.63090108,-232.5149748,4.532233893,"firm, drifted, ice-like"
